Indicador,Valor,Descripción
Ecuador - Total registros,2042,Número total de registros procesados
Ecuador - Fecha inicio,2020-01-04,Primera fecha con datos
Ecuador - Fecha fin,2025-08-10,Última fecha con datos
Ecuador - Incidencia máxima 7d,51.6,Máxima incidencia semanal registrada
Ecuador - Incidencia promedio 7d,3.0,Incidencia semanal promedio
Ecuador - Factor crecimiento máximo 7d,48.3,Máximo factor de crecimiento semanal
Ecuador - Factor crecimiento promedio 7d,1.22,Factor de crecimiento semanal promedio
Spain - Total registros,1283,Número total de registros procesados
Spain - Fecha inicio,2020-01-04,Primera fecha con datos
Spain - Fecha fin,2023-07-09,Última fecha con datos
Spain - Incidencia máxima 7d,285.7,Máxima incidencia semanal registrada
Spain - Incidencia promedio 7d,22.78,Incidencia semanal promedio
Spain - Factor crecimiento máximo 7d,16.12,Máximo factor de crecimiento semanal
Spain - Factor crecimiento promedio 7d,1.23,Factor de crecimiento semanal promedio
Fecha generación reporte,2025-08-30 16:29:44,Timestamp de generación del reporte
Total países analizados,2,Número de países incluidos en el análisis
Total registros procesados,3325,Número total de registros después del procesamiento
